kind,source_path,archive_path,lines,chars,sha256,headings
agents,sb/AGENTS.md,corpus/agents/sb/AGENTS.md,26,831,21e913c9553d95e400512b3a0750eb25739bce7c5f83e3f48e61bf407779cbaa,# S.B. Smart Brain Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Deployment Notes
agents,trip-ava/AGENTS.md,corpus/agents/trip-ava/AGENTS.md,28,828,4d650b3745b2698e7544d5385e477ff9c84216fbaee13ca985d903943c9464fe,# Trip-AVA Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Deployment Notes
agents,trip-map/AGENTS.md,corpus/agents/trip-map/AGENTS.md,23,779,7ea556ee947ad7f4208808aab80c36964bf53c8e5be4c33ab3c1cf83149deb12,# Repository Guidelines | ## Project Shape | ## Commands | ## Environment | ## Editing Rules
agents,vedio-agent/AGENTS.md,corpus/agents/vedio-agent/AGENTS.md,36,1647,599de1a86d919e0358826090ce57f58a17e6b0e8c9e2510c7409c4a2d0f42e42,# Repository Guidelines | ## Project Structure | ## Commands | ## Deployment | ## Content Maintenance
agents,vietnam-agent/AGENTS.md,corpus/agents/vietnam-agent/AGENTS.md,19,760,9b1029de044c2b46e2de9a03c3502acbb4f36ed7c88ffd428776232401ed4a38,# Repository Guidelines | ## Project Shape | ## Commands | ## Editing Rules
agents,yuanjie-ar-mp/AGENTS.md,corpus/agents/yuanjie-ar-mp/AGENTS.md,30,1277,2ab78c00f03609ea772b2fdd39c2fe98eeb7bdad690bb1cc1d22213759e7a8c1,# Yuanjie AR Mini Program Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Environment
agents,yuanjie/AGENTS.md,corpus/agents/yuanjie/AGENTS.md,29,1265,d5065c5c5b01589228a69ae7993b9379ac0f0c17a656c6dd980b3d8a6fe9459f,# Yuanjie Working Guide | ## Local Rules | ## Verification | ## Related Materials
claude,2077-daily/CLAUDE.md,corpus/claude/2077-daily/CLAUDE.md,1,11,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,
claude,ai-agent-crewai/CLAUDE.md,corpus/claude/ai-agent-crewai/CLAUDE.md,31,1046,bad327e7cab1f7383eac8192b6f0b5584729ae2bccc354b6f5766bb87e145b87,# CLAUDE.md | ## Project Overview | ## Status | ## Development Setup | # Create and activate virtual environment
claude,ai-archi-analyzer/CLAUDE.md,corpus/claude/ai-archi-analyzer/CLAUDE.md,95,5076,9225ff67937caafd05febf9985397504b01b905bcf9a924a647064fe3be401f2,# CLAUDE.md | ## Project Overview | ## Commands | # Install dependencies | # Or editable install
claude,ai-chat-chrome/hotel-compare/web/CLAUDE.md,corpus/claude/ai-chat-chrome/hotel-compare/web/CLAUDE.md,1,11,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,
claude,ai-codereview-web/CLAUDE.md,corpus/claude/ai-codereview-web/CLAUDE.md,21,750,31f61e8c8de106303cada728ac70336141b771b68f82a2c1daf56e58cc65ef20,# CLAUDE.md | ## Project | ## Development
claude,ai-hackthon/agentverse/CLAUDE.md,corpus/claude/ai-hackthon/agentverse/CLAUDE.md,1,11,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,
claude,ai-home-care-platform/CLAUDE.md,corpus/claude/ai-home-care-platform/CLAUDE.md,1,11,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,
claude,ai-meeting-web/CLAUDE.md,corpus/claude/ai-meeting-web/CLAUDE.md,42,2754,eab4d9ceec93824df55b7246429de0253a4ad17d2f4ed8bef415b06368cdde3a,# CLAUDE.md | ## Project Overview | ## Commands | ## Architecture | ## Conventions
claude,ai-rag-pipeline/CLAUDE.md,corpus/claude/ai-rag-pipeline/CLAUDE.md,79,3377,d4791cbff1d1c4f5b7507f4a757884f4b38572cb456a6c46ca8a3162bc8af1c8,# CLAUDE.md | ## Project Overview | ## Commands | # Install dependencies | # Run full pipeline
claude,AI/CLAUDE.md,corpus/claude/AI/CLAUDE.md,296,6637,969ade3e20cfbf16242428b9ad58a73609e1dccc97394fdba66fe19366d0e3bf,# CLAUDE.md | ## 项目概述 | ## 目录结构 | ## 编号系统 | ## 命名规范
claude,awesome-ai-ideas/site/CLAUDE.md,corpus/claude/awesome-ai-ideas/site/CLAUDE.md,1,11,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,
claude,bci-research/CLAUDE.md,corpus/claude/bci-research/CLAUDE.md,58,2803,54477703bc58e88fb8a683384400d44cd4ea1400a55e26ac43065e698d3f6c33,# CLAUDE.md | ## Project Overview | ## Document Architecture | ## Writing Conventions | ## BCI Agent MVP (`app/`)
